sentence	aspect	polarity
I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.	laptop connectivity	positive
I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.	laptop operation performance	positive
I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.	laptop usability	positive
That includes transferring my music and movies.	laptop usability	positive
Good bye BLUE SCREEN and Critical errors!!!!	laptop operation performance	positive
Skype is just so dang cool with this machine too.	software general	positive
If your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.	laptop operation performance	positive
If your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.	laptop usability	positive
It is light and the battery last a very long time.	battery operation performance	positive
It is light and the battery last a very long time.	laptop design features	positive
Very fast boot up and shut down.	laptop operation performance	positive
Let me tell you, this machine is great.	laptop general	positive
Purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc.	laptop miscellaneous	positive
I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.	os usability	positive
The most amazing part to me as a PC user is the startup and shutdown times - and the fact that you very rarely have to restart the thing.	laptop operation performance	positive
The only time I have restarted is during system updates.	laptop operation performance	positive
